,ground_nof,bstory_cnt,bottom_area,season_se_nm,fire_ocrn_hour,daywk,sigungu_nm,spt_safe_cnter_dist,fclty_place_lclas_nm,fio_join_trgt_yn,frmng_trgt_yn,mub_yn,emrg_crg_oper_yn,time_unit_tmprt,time_unit_ws,time_unit_humidity,time_unit_rainqty,time_unit_msnf,totar
1,4.0,1.0,275.0,겨울,1.0,토요일,강동구,1.2,판매/업무시설,N,Y,N,N,-9.2,1.8,42.0,0.0,0.0,1214.0
2,3.0,1.0,234.37,겨울,5.0,토요일,노원구,2.2,판매/업무시설,N,N,N,N,-9.7,0.8,51.0,0.0,0.0,805.11
3,2.0,1.0,0.0,겨울,7.0,토요일,종로구,2.3,주거,N,N,N,N,-10.1,1.9,55.0,0.0,0.0,307.64
4,17.0,5.0,586.51,겨울,7.0,토요일,강남구,1.8,주거,N,Y,N,N,-10.1,1.9,55.0,0.0,0.0,12986.17
6,4.0,1.0,80.19,겨울,9.0,토요일,중랑구,2.1,판매/업무시설,N,N,N,N,-9.1,2.1,56.0,0.0,0.0,382.32
7,14.0,2.0,128.92,겨울,10.0,토요일,은평구,1.4,의료/복지시설,N,N,N,N,-6.8,2.3,42.0,0.0,0.0,2044.22
8,5.0,0.0,54.4,겨울,10.0,토요일,광진구,2.3,주거,N,N,N,N,-6.8,2.3,42.0,0.0,0.0,747.7
9,15.0,1.0,16066.9,겨울,10.0,토요일,양천구,1.5,주거,N,N,N,N,-6.8,2.3,42.0,0.0,0.0,171516.22
10,7.0,0.0,248.24,겨울,10.0,토요일,강서구,0.6,주거,N,Y,N,N,-6.8,2.3,42.0,0.0,0.0,876.75
11,4.0,1.0,76.45,겨울,12.0,토요일,강북구,1.4,주거,N,N,N,N,-2.3,1.2,34.0,0.0,0.0,391.31
13,4.0,1.0,108.44,겨울,15.0,토요일,성북구,1.5,주거,N,Y,Y,N,1.9,1.7,35.0,0.0,0.0,494.56
14,2.0,0.0,47.0,겨울,15.0,토요일,용산구,1.0,주거,N,N,N,N,1.9,1.7,35.0,0.0,0.0,82.0
15,5.0,1.0,98.13,겨울,20.0,토요일,동대문구,0.9,주거,N,N,N,N,-1.6,0.9,47.0,0.0,0.0,529.29
16,1.0,0.0,16.5,겨울,20.0,토요일,마포구,4.5,기타서비스,N,N,N,N,-1.6,0.9,47.0,0.0,0.0,16.5
18,5.0,0.0,135.06,겨울,1.0,일요일,강남구,2.3,주거,N,N,N,N,-2.9,2.1,57.0,0.0,0.0,449.97
19,4.0,1.0,98.14,겨울,6.0,일요일,성동구,1.2,주거,N,N,N,N,-1.9,2.5,66.0,0.0,0.1,309.38
22,2.0,1.0,85.2,겨울,10.0,일요일,동작구,0.7,주거,N,N,N,N,-0.8,0.7,81.0,0.0,0.3,240.23
23,17.0,5.0,885.0,겨울,11.0,일요일,송파구,1.8,주거,N,N,N,N,0.0,3.3,80.0,0.0,0.2,16858.0
24,15.0,1.0,568.68,겨울,15.0,일요일,동작구,3.0,주거,N,N,N,N,2.5,3.3,46.0,0.0,0.0,8742.72
25,3.0,0.0,84.92,겨울,19.0,일요일,중구,0.6,생활서비스,N,N,N,N,-1.6,2.0,41.0,0.0,0.0,241.56
27,12.0,5.0,2097.63,겨울,22.0,일요일,중구,0.5,판매/업무시설,N,N,N,N,-3.8,2.1,49.0,0.0,0.0,29989.66
28,15.0,1.0,15337.8,겨울,22.0,일요일,성동구,2.0,주거,N,N,N,N,-3.8,2.1,49.0,0.0,0.0,15337.8
29,1.0,0.0,33.6,겨울,3.0,월요일,영등포구,0.6,생활서비스,N,N,N,N,-7.0,1.6,59.0,0.0,0.0,33.6
30,2.0,1.0,207.67,겨울,7.0,월요일,은평구,2.0,판매/업무시설,N,N,N,N,-7.7,2.0,54.0,0.0,0.0,309.96
31,15.0,1.0,812.58,겨울,8.0,월요일,도봉구,1.6,주거,N,Y,N,N,-7.6,1.6,55.0,0.0,0.0,10712.02
32,1.0,1.0,33.0,겨울,10.0,월요일,광진구,1.0,판매/업무시설,N,N,N,N,-4.0,1.2,55.0,0.0,0.0,191.08
33,10.0,2.0,25.0,겨울,12.0,월요일,송파구,3.4,판매/업무시설,N,Y,N,N,0.9,2.1,36.0,0.0,0.0,3457.14
34,4.0,1.0,142.13,겨울,14.0,월요일,은평구,2.5,생활서비스,N,N,N,N,2.0,2.4,43.0,0.0,0.0,607.84
35,4.0,1.0,119.52,겨울,16.0,월요일,관악구,3.3,주거,N,N,N,N,2.3,2.4,49.0,0.0,0.0,586.02
36,6.0,0.0,150.79,겨울,17.0,월요일,관악구,1.0,주거,N,Y,N,N,1.6,3.0,56.0,0.0,0.0,543.22
37,2.0,1.0,0.0,겨울,18.0,월요일,종로구,2.5,주거,N,N,N,N,1.3,1.9,58.0,0.0,0.0,149.18
39,4.0,0.0,96.0,겨울,20.0,월요일,송파구,2.5,주거,N,N,N,N,1.2,1.8,68.0,0.0,0.0,312.0
40,3.0,1.0,72.81,겨울,21.0,월요일,동대문구,3.0,주거,N,N,N,N,1.1,2.8,74.0,0.0,0.0,243.53
44,5.0,1.0,106.58,겨울,8.0,화요일,서초구,1.8,판매/업무시설,N,N,N,N,-4.6,1.9,75.0,0.0,0.0,634.65
45,2.0,1.0,59.88,겨울,9.0,화요일,강북구,1.8,주거,N,N,N,N,-4.3,3.8,73.0,0.0,0.0,185.04
46,3.0,0.0,31.64,겨울,10.0,화요일,서대문구,1.5,생활서비스,N,N,N,N,-3.5,2.8,66.0,0.0,0.0,94.92
47,4.0,1.0,132.91,겨울,12.0,화요일,강남구,4.9,생활서비스,N,N,N,N,-0.6,2.5,45.0,0.0,0.0,392.55
48,31.0,0.0,690.63,겨울,13.0,화요일,강남구,2.0,주거,N,N,N,N,-0.5,2.9,43.0,0.0,0.0,14429.6
50,4.0,1.0,89.88,겨울,16.0,화요일,마포구,1.2,기타서비스,N,N,N,N,0.7,3.0,29.0,0.0,0.0,471.36
52,2.0,1.0,55.89,겨울,17.0,화요일,도봉구,0.7,주거,N,N,N,N,-0.4,2.8,29.0,0.0,0.0,167.64
53,2.0,0.0,274.4,겨울,21.0,화요일,중랑구,1.3,생활서비스,N,N,N,N,-3.5,0.8,37.0,0.0,0.0,548.8
56,8.0,1.0,335.03,겨울,4.0,수요일,강서구,1.3,생활서비스,N,Y,N,N,-7.2,1.9,52.0,0.0,0.0,2224.84
57,2.0,1.0,103.65,겨울,8.0,수요일,광진구,2.0,산업시설,N,N,N,N,-7.5,2.6,58.0,0.0,0.0,291.45
58,2.0,1.0,39.08,겨울,9.0,수요일,노원구,1.2,주거,N,N,N,N,-6.4,0.9,56.0,0.0,0.0,122.22
59,17.0,5.0,2290.2,겨울,10.0,수요일,서초구,2.0,기타서비스,N,N,N,N,-4.4,1.3,50.0,0.0,0.0,26459.94
61,2.0,1.0,30.0,겨울,11.0,수요일,광진구,0.7,주거,N,N,N,N,-2.4,1.5,46.0,0.0,0.0,315.69
62,2.0,1.0,296.34,겨울,13.0,수요일,양천구,1.5,주거,N,N,N,N,0.5,2.0,37.0,0.0,0.0,1443.59
63,7.0,1.0,264.0,겨울,15.0,수요일,관악구,0.2,생활서비스,N,Y,N,N,1.7,1.5,36.0,0.0,0.0,1457.6
64,18.0,5.0,1663.26,겨울,18.0,수요일,종로구,1.2,판매/업무시설,N,Y,N,N,0.7,2.0,42.0,0.0,0.0,34747.2
65,2.0,1.0,47.94,겨울,19.0,수요일,동작구,2.4,주거,N,N,N,N,0.1,1.3,42.0,0.0,0.0,143.82
67,1.0,0.0,33.06,겨울,19.0,수요일,동대문구,2.0,주거,N,N,N,N,0.1,1.3,42.0,0.0,0.0,33.06
69,19.0,0.0,301.07,겨울,21.0,수요일,강북구,0.5,주거,N,Y,N,N,-1.0,2.0,46.0,0.0,0.0,4295.9
70,4.0,1.0,167.4,겨울,21.0,수요일,도봉구,1.2,생활서비스,N,N,N,N,-1.0,2.0,46.0,0.0,0.0,455.13
71,18.0,0.0,668.97,겨울,2.0,목요일,서대문구,2.3,주거,N,Y,N,N,-3.7,0.9,55.0,0.0,0.0,10664.82
72,18.0,3.0,506.43,겨울,2.0,목요일,서대문구,3.2,판매/업무시설,N,Y,N,N,-3.7,0.9,55.0,0.0,0.0,10388.86
74,1.0,0.0,6.5,겨울,4.0,목요일,영등포구,1.3,기타서비스,N,N,N,N,-4.8,2.1,62.0,0.0,0.0,25.0
75,6.0,1.0,110.0,겨울,4.0,목요일,종로구,0.6,생활서비스,N,N,N,N,-4.8,2.1,62.0,0.0,0.0,770.21
78,4.0,1.0,103.35,겨울,13.0,목요일,관악구,0.3,생활서비스,N,N,N,N,1.7,4.2,33.0,0.0,0.0,511.14
79,4.0,0.0,110.35,겨울,13.0,목요일,강동구,0.8,주거,N,N,N,N,1.7,4.2,33.0,0.0,0.0,408.36
80,5.0,0.0,137.0,겨울,16.0,목요일,강동구,0.8,주거,N,N,N,N,3.1,1.6,31.0,0.0,0.0,412.0
81,1.0,1.0,210.05,겨울,21.0,목요일,구로구,1.3,판매/업무시설,N,N,N,N,-1.9,1.8,43.0,0.0,0.0,291.02
82,1.0,0.0,278.25,겨울,21.0,목요일,성동구,0.8,판매/업무시설,N,N,N,N,-1.9,1.8,43.0,0.0,0.0,278.25
84,4.0,1.0,86.33,겨울,0.0,금요일,도봉구,1.5,기타서비스,N,N,N,N,-4.2,1.3,52.0,0.0,0.0,452.27
85,2.0,1.0,281.36,겨울,0.0,금요일,서대문구,1.3,기타서비스,N,N,N,N,-4.2,1.3,52.0,0.0,0.0,281.36
88,5.0,1.0,418.64,겨울,10.0,금요일,서초구,2.8,생활서비스,N,Y,N,N,-3.0,1.1,59.0,0.0,0.0,2298.2
92,25.0,0.0,82.19,겨울,18.0,금요일,영등포구,1.3,주거,N,Y,N,N,1.4,2.1,33.0,0.0,0.0,11806.85
94,2.0,1.0,125.29,겨울,19.0,금요일,금천구,0.9,판매/업무시설,N,N,N,N,0.3,1.8,41.0,0.0,0.0,284.96
95,3.0,1.0,166.65,겨울,22.0,금요일,도봉구,1.2,주거,N,N,N,N,-1.9,1.8,53.0,0.0,0.0,293.0
96,12.0,6.0,636.97,겨울,23.0,금요일,중구,1.1,생활서비스,N,Y,Y,N,-2.2,1.0,55.0,0.0,0.0,1589.1
97,4.0,0.0,99.63,겨울,0.0,토요일,은평구,2.0,주거,N,N,N,N,-2.8,0.7,55.0,0.0,0.0,251.07
98,5.0,1.0,16119.0,겨울,0.0,토요일,양천구,2.2,판매/업무시설,N,N,N,N,-2.8,0.7,55.0,0.0,0.0,104984.0
99,3.0,1.0,60.36,겨울,3.0,토요일,광진구,1.3,주거,N,N,N,N,-3.6,0.1,54.0,0.0,0.0,231.0
100,3.0,1.0,470.38,겨울,5.0,토요일,강동구,1.2,생활서비스,N,Y,N,N,-4.3,1.9,56.0,0.0,0.0,1909.09
101,5.0,1.0,114.19,겨울,6.0,토요일,성동구,3.0,주거,N,N,N,N,-4.7,2.4,59.0,0.0,0.0,682.66
102,2.0,0.0,52.0,겨울,11.0,토요일,강북구,0.6,주거,N,N,N,N,-0.8,2.3,53.0,0.0,0.0,105.0
103,16.0,2.0,1201.3,겨울,12.0,토요일,노원구,2.5,주거,N,Y,N,N,0.6,1.2,50.0,0.0,0.0,18795.58
104,2.0,1.0,58.62,겨울,13.0,토요일,은평구,1.0,주거,N,N,N,N,2.3,1.1,52.0,0.0,0.0,171.06
105,2.0,0.0,77.0,겨울,15.0,토요일,강북구,2.0,주거,N,N,N,N,3.2,1.8,65.0,0.0,0.0,120.0
106,10.0,3.0,122.76,겨울,16.0,토요일,강서구,1.6,생활서비스,N,Y,N,N,3.5,2.6,72.0,0.0,0.0,13938.88
107,5.0,2.0,161.05,겨울,16.0,토요일,강남구,1.8,기타서비스,N,N,N,N,3.5,2.6,72.0,0.0,0.0,902.28
108,4.0,1.0,500.0,겨울,18.0,토요일,서대문구,0.9,판매/업무시설,N,N,N,N,3.6,2.3,72.0,0.0,0.0,2516.0
109,10.0,2.0,301.48,겨울,8.0,일요일,양천구,1.5,주거,N,Y,N,N,-0.6,2.0,90.0,0.0,0.0,2160.94
110,3.0,1.0,135.72,겨울,10.0,일요일,강북구,2.0,의료/복지시설,N,Y,N,N,-0.3,1.4,89.0,0.0,0.0,494.84
111,4.0,1.0,97.5,겨울,10.0,일요일,동작구,1.2,생활서비스,N,N,N,N,-0.3,1.4,89.0,0.0,0.0,518.37
112,4.0,2.0,577.9,겨울,13.0,일요일,성북구,1.3,판매/업무시설,N,Y,N,N,3.3,1.0,66.0,0.0,0.0,2892.57
113,17.0,1.0,84.56,겨울,13.0,일요일,서대문구,1.2,주거,N,Y,N,N,3.3,1.0,66.0,0.0,0.0,7822.69
115,6.0,0.0,169.69,겨울,17.0,일요일,강서구,1.8,주거,N,N,N,N,3.8,2.1,50.0,0.0,0.0,549.65
116,5.0,0.0,149.16,겨울,18.0,일요일,용산구,2.8,주거,N,N,N,N,2.2,1.1,53.0,0.0,0.0,504.2
117,2.0,1.0,135.44,겨울,19.0,일요일,강남구,2.5,생활서비스,N,N,N,N,1.4,1.3,57.0,0.0,0.0,427.48
121,5.0,0.0,116.0,겨울,1.0,월요일,송파구,2.5,주거,N,N,N,N,-1.6,1.0,73.0,0.0,0.0,427.0
122,3.0,1.0,0.0,겨울,1.0,월요일,마포구,1.5,주거,N,N,N,N,-1.6,1.0,73.0,0.0,0.0,205.03
123,4.0,2.0,593.6,겨울,4.0,월요일,강남구,1.0,생활서비스,N,Y,N,N,-2.1,0.8,77.0,0.0,0.0,3198.09
124,3.0,1.0,171.08,겨울,8.0,월요일,동대문구,1.8,판매/업무시설,N,N,N,N,-3.3,2.0,84.0,0.0,0.0,390.46
125,4.0,1.0,220.76,겨울,10.0,월요일,광진구,1.7,생활서비스,N,N,N,N,-1.0,1.7,78.0,0.0,0.0,1175.08
126,5.0,0.0,140.76,겨울,10.0,월요일,금천구,0.7,주거,N,N,N,N,-1.0,1.7,78.0,0.0,0.0,509.42
128,3.0,1.0,60.43,겨울,12.0,월요일,은평구,1.5,주거,N,N,N,N,3.7,1.1,60.0,0.0,0.0,513.0
129,3.0,1.0,112.35,겨울,13.0,월요일,도봉구,2.2,생활서비스,N,N,N,N,4.2,2.4,53.0,0.0,0.0,494.34
130,1.0,2.0,128.57,겨울,15.0,월요일,도봉구,3.3,산업시설,N,Y,N,N,4.0,2.8,40.0,0.0,0.0,11718.0
131,7.0,2.0,1051.23,겨울,15.0,월요일,서대문구,2.1,의료/복지시설,N,Y,N,N,4.0,2.8,40.0,0.0,0.0,4540.75
132,20.0,0.0,917.34,겨울,17.0,월요일,강북구,1.0,주거,Y,Y,N,N,3.0,2.5,53.0,0.0,0.0,11172.74
133,17.0,4.0,383.2,겨울,18.0,월요일,강남구,1.6,의료/복지시설,N,Y,N,N,2.4,2.1,56.0,0.0,0.0,7414.36
134,3.0,1.0,31.6,겨울,21.0,월요일,동대문구,1.5,주거,N,N,N,N,1.4,1.9,58.0,0.0,0.0,106.54
137,16.0,2.0,859.37,겨울,11.0,화요일,중랑구,1.0,주거,N,N,N,N,-7.6,4.2,50.0,0.0,0.7,13189.45
138,4.0,0.0,1584.22,겨울,11.0,화요일,관악구,2.3,교육시설,N,Y,N,N,-7.6,4.2,50.0,0.0,0.7,6206.47
139,15.0,1.0,530.0,겨울,14.0,화요일,송파구,1.0,주거,N,Y,N,N,-5.4,4.4,44.0,0.0,0.3,6317.52
140,3.0,2.0,661.13,겨울,14.0,화요일,성북구,3.2,교육시설,Y,Y,N,N,-5.4,4.4,44.0,0.0,0.3,3305.65
143,4.0,0.0,96.0,겨울,16.0,화요일,강북구,1.5,주거,N,N,N,N,-4.8,3.7,39.0,0.0,0.2,242.0
144,4.0,1.0,96.34,겨울,16.0,화요일,서초구,3.2,주거,N,N,N,N,-4.8,3.7,39.0,0.0,0.2,452.14
145,3.0,2.0,178.0,겨울,16.0,화요일,강북구,2.0,운수자동차시설,N,Y,N,N,-4.8,3.7,39.0,0.0,0.2,495.0
146,4.0,1.0,141.36,겨울,17.0,화요일,구로구,0.7,주거,N,N,N,N,-5.5,2.9,42.0,0.0,0.2,642.72
147,4.0,1.0,84.18,겨울,18.0,화요일,서초구,3.2,판매/업무시설,N,N,N,N,-6.7,3.7,47.0,0.0,0.2,420.24
148,4.0,1.0,237.58,겨울,19.0,화요일,동작구,0.8,주거,N,N,N,N,-7.5,3.1,49.0,0.0,0.2,862.86
149,3.0,1.0,69.23,겨울,20.0,화요일,중랑구,0.7,생활서비스,N,N,N,N,-8.3,3.1,52.0,0.0,0.2,275.08
150,6.0,0.0,113.0,겨울,22.0,화요일,송파구,2.5,생활서비스,N,N,N,N,-9.6,2.7,56.0,0.0,0.2,538.0
151,4.0,1.0,65.0,겨울,1.0,수요일,마포구,1.3,생활서비스,N,N,N,N,-10.7,1.5,57.0,0.0,0.2,316.0
152,1.0,1.0,63.17,겨울,6.0,수요일,강북구,1.2,주거,N,N,N,N,-11.0,2.7,58.0,0.0,0.2,70.51
153,1.0,1.0,256.99,겨울,7.0,수요일,금천구,0.8,주거,N,N,N,N,-11.2,1.5,59.0,0.0,0.2,340.72
154,10.0,2.0,254.4,겨울,9.0,수요일,관악구,1.8,운수자동차시설,N,Y,N,N,-10.2,3.1,54.0,0.0,0.2,2203.37
157,4.0,1.0,102.29,겨울,13.0,수요일,관악구,1.0,주거,N,N,N,N,-5.5,3.0,42.0,0.0,0.1,473.36
158,3.0,1.0,88.26,겨울,16.0,수요일,영등포구,0.7,주거,N,N,N,N,-4.0,3.5,35.0,0.0,0.0,299.79
159,6.0,1.0,230.16,겨울,16.0,수요일,서대문구,1.3,판매/업무시설,N,Y,N,N,-4.0,3.5,35.0,0.0,0.0,1638.8
160,7.0,2.0,640.42,겨울,16.0,수요일,성동구,1.5,주거,N,Y,N,N,-4.0,3.5,35.0,0.0,0.0,4874.01
161,7.0,3.0,465.21,겨울,17.0,수요일,강남구,1.5,기타서비스,N,N,N,N,-4.6,2.0,39.0,0.0,0.0,4600.87
163,7.0,2.0,147.9,겨울,19.0,수요일,동대문구,0.6,판매/업무시설,N,N,N,N,-5.5,2.9,47.0,0.0,0.0,1392.97
164,1.0,0.0,6.6,겨울,23.0,수요일,중구,0.8,주거,N,N,N,N,-6.5,2.2,46.0,0.0,0.0,29.26
168,7.0,2.0,281.93,겨울,6.0,목요일,강남구,1.5,의료/복지시설,N,Y,N,N,-7.2,1.1,52.0,0.0,0.0,2173.99
169,0.0,5.0,2382.16,겨울,11.0,목요일,강서구,2.7,운수자동차시설,N,N,N,N,-5.0,5.6,45.0,0.0,0.0,11323.25
170,2.0,1.0,81.96,겨울,13.0,목요일,마포구,2.5,주거,N,N,N,N,-4.1,4.9,35.0,0.0,0.0,245.88
171,13.0,4.0,755.23,겨울,15.0,목요일,중구,1.0,판매/업무시설,N,N,N,N,-3.3,4.3,33.0,0.0,0.0,12469.35
172,4.0,1.0,226.1,겨울,19.0,목요일,강남구,1.5,판매/업무시설,N,N,N,N,-6.8,4.6,47.0,0.0,0.0,613.8
173,5.0,0.0,148.7,겨울,0.0,금요일,동작구,1.0,주거,N,N,N,N,-8.9,1.1,53.0,0.0,0.0,541.84
174,2.0,1.0,68.76,겨울,3.0,금요일,강북구,1.0,주거,N,N,N,N,-9.7,0.7,53.0,0.0,0.0,206.28
175,3.0,1.0,60.3,겨울,3.0,금요일,중랑구,1.6,주거,N,N,N,N,-9.7,0.7,53.0,0.0,0.0,260.06
178,5.0,1.0,173.63,겨울,9.0,금요일,서초구,2.1,의료/복지시설,N,Y,N,N,-9.1,2.2,53.0,0.0,0.0,1114.59
180,3.0,1.0,127.61,겨울,13.0,금요일,강서구,1.1,주거,N,N,N,N,-0.1,2.1,31.0,0.0,0.0,482.4
181,4.0,2.0,190.0,겨울,13.0,금요일,중랑구,2.0,주거,N,N,N,N,-0.1,2.1,31.0,0.0,0.0,500.0
182,1.0,0.0,52.89,겨울,13.0,금요일,서대문구,0.3,판매/업무시설,N,N,N,N,-0.1,2.1,31.0,0.0,0.0,52.89
183,2.0,1.0,62.07,겨울,13.0,금요일,마포구,2.0,주거,N,N,N,N,-0.1,2.1,31.0,0.0,0.0,186.21
184,1.0,1.0,98.1,겨울,15.0,금요일,강남구,0.5,생활서비스,N,N,N,N,0.5,2.7,26.0,0.0,0.0,253.1
185,2.0,1.0,56.81,겨울,16.0,금요일,성동구,2.0,생활서비스,N,N,N,N,1.2,1.8,26.0,0.0,0.0,148.68
186,17.0,0.0,845.73,겨울,16.0,금요일,강남구,1.4,주거,N,N,N,N,1.2,1.8,26.0,0.0,0.0,10595.25
187,1.0,0.0,9.95,겨울,16.0,금요일,영등포구,1.5,생활서비스,N,N,N,N,1.2,1.8,26.0,0.0,0.0,118.93
188,4.0,1.0,177.47,겨울,16.0,금요일,광진구,0.2,판매/업무시설,N,N,N,N,1.2,1.8,26.0,0.0,0.0,887.35
190,4.0,1.0,732.9,겨울,18.0,금요일,영등포구,1.9,생활서비스,N,N,N,N,-1.5,1.8,31.0,0.0,0.0,1833.98
192,4.0,1.0,0.0,겨울,19.0,금요일,종로구,1.2,생활서비스,N,N,N,N,-2.7,1.7,33.0,0.0,0.0,180.0
193,17.0,5.0,2060.29,겨울,20.0,금요일,송파구,1.8,판매/업무시설,N,Y,N,N,-3.1,2.0,38.0,0.0,0.0,54820.33
194,9.0,1.0,1194.65,겨울,20.0,금요일,노원구,2.4,주거,N,Y,N,N,-3.1,2.0,38.0,0.0,0.0,9406.82
195,15.0,2.0,26.0,겨울,21.0,금요일,송파구,3.1,판매/업무시설,N,Y,N,N,-3.1,2.4,42.0,0.0,0.0,7109.87
197,3.0,1.0,286.28,겨울,21.0,금요일,노원구,2.1,주거,N,N,N,N,-3.1,2.4,42.0,0.0,0.0,1157.52
198,8.0,1.0,315.0,겨울,23.0,금요일,은평구,2.0,의료/복지시설,N,Y,N,N,-3.9,1.4,42.0,0.0,0.0,2964.1
200,4.0,1.0,123.42,겨울,2.0,토요일,은평구,2.8,주거,N,N,N,N,-4.5,2.2,47.0,0.0,0.0,972.76
201,5.0,1.0,676.93,겨울,9.0,토요일,광진구,0.3,운수자동차시설,N,Y,N,N,-3.8,2.3,46.0,0.0,0.0,3909.32
202,8.0,1.0,236.32,겨울,10.0,토요일,중랑구,1.5,주거,N,N,N,N,-2.3,1.9,44.0,0.0,0.0,1540.99
203,3.0,1.0,74.3,겨울,11.0,토요일,노원구,0.5,생활서비스,N,N,N,N,-0.7,3.1,43.0,0.0,0.0,316.4
204,5.0,1.0,103.96,겨울,13.0,토요일,마포구,1.0,생활서비스,N,N,N,N,0.7,1.7,43.0,0.0,0.0,494.02
206,2.0,1.0,212.1,겨울,22.0,토요일,중랑구,1.0,주거,N,N,N,N,1.4,0.8,53.0,0.0,0.0,473.13
207,0.0,3.0,395.0,겨울,5.0,일요일,서초구,1.4,운수자동차시설,N,Y,N,N,1.5,3.4,79.0,0.0,0.0,1240200.0
208,8.0,0.0,142.22,겨울,6.0,일요일,구로구,0.8,생활서비스,N,N,N,N,0.1,4.0,76.0,0.0,0.0,952.3
209,3.0,1.0,178.15,겨울,8.0,일요일,강동구,2.8,집합시설,N,N,N,N,-2.5,3.5,75.0,0.0,0.0,1148.76
210,24.0,0.0,312.13,겨울,11.0,일요일,구로구,1.4,주거,N,Y,N,N,-3.1,4.5,53.0,0.0,0.0,6527.29
212,9.0,1.0,918.0,겨울,11.0,일요일,도봉구,1.3,주거,N,Y,N,N,-3.1,4.5,53.0,0.0,0.0,8895.13
213,4.0,1.0,97.58,겨울,13.0,일요일,광진구,1.7,생활서비스,N,N,Y,N,-0.4,3.4,35.0,0.0,0.0,389.94
214,7.0,0.0,218.94,겨울,13.0,일요일,강서구,1.6,주거,N,Y,N,N,-0.4,3.4,35.0,0.0,0.0,858.01
215,3.0,1.0,129.0,겨울,14.0,일요일,용산구,0.4,주거,N,N,N,N,0.1,4.0,31.0,0.0,0.0,481.0
216,9.0,1.0,3035.0,겨울,15.0,일요일,관악구,3.0,교육시설,N,Y,N,N,0.5,4.3,36.0,0.0,0.0,18541.51
218,6.0,1.0,166.35,겨울,16.0,일요일,강남구,0.6,기타서비스,N,Y,N,N,-0.1,4.0,38.0,0.0,0.0,1107.83
222,8.0,1.0,220.81,겨울,18.0,일요일,동대문구,1.0,판매/업무시설,N,N,N,N,-2.4,2.8,43.0,0.0,0.0,1486.87
224,24.0,4.0,122.0,겨울,20.0,일요일,송파구,1.3,주거,N,Y,N,N,-3.9,3.2,33.0,0.0,0.0,87805.98
227,2.0,1.0,688.6,겨울,22.0,일요일,영등포구,1.5,산업시설,N,N,N,N,-5.3,4.3,42.0,0.0,0.0,1377.0
229,15.0,4.0,710.06,겨울,1.0,월요일,관악구,0.9,판매/업무시설,N,Y,N,N,-7.9,2.3,58.0,0.0,0.0,10936.04
230,3.0,1.0,78.46,겨울,6.0,월요일,광진구,1.2,주거,N,N,N,N,-9.1,0.9,60.0,0.0,0.0,275.27
232,3.0,1.0,2968.0,겨울,14.0,월요일,중구,1.2,판매/업무시설,N,Y,N,N,-1.0,3.4,54.0,0.0,0.0,12946.91
233,17.0,4.0,1536.0,겨울,15.0,월요일,강동구,1.0,판매/업무시설,Y,Y,N,N,-2.2,4.0,75.0,0.0,0.1,16882.84
234,3.0,1.0,132.0,겨울,15.0,월요일,서초구,2.2,판매/업무시설,N,N,N,N,-2.2,4.0,75.0,0.0,0.1,528.0
236,14.0,6.0,889.04,겨울,18.0,월요일,서초구,3.6,판매/업무시설,N,N,N,N,-3.3,3.4,83.0,0.5,0.8,19253.68
237,2.0,0.0,36.0,겨울,18.0,월요일,영등포구,1.6,산업시설,N,N,N,N,-3.3,3.4,83.0,0.5,0.8,99.17
238,1.0,0.0,0.0,겨울,21.0,월요일,송파구,1.5,기타서비스,N,N,N,N,-5.8,3.1,51.0,0.0,0.7,16.0
239,4.0,0.0,0.0,겨울,23.0,월요일,서대문구,2.5,생활서비스,N,N,N,N,-7.2,1.3,53.0,0.0,0.6,8677.24
240,2.0,1.0,95.0,겨울,0.0,화요일,동대문구,1.5,주거,N,N,N,N,-7.7,2.2,56.0,0.0,0.5,288.46
241,3.0,1.0,180.0,겨울,2.0,화요일,은평구,2.4,주거,N,N,N,N,-7.9,2.0,56.0,0.0,0.5,368.0
242,2.0,1.0,72.31,겨울,2.0,화요일,금천구,1.1,주거,N,N,N,N,-7.9,2.0,56.0,0.0,0.5,192.84
243,4.0,1.0,51.98,겨울,8.0,화요일,종로구,1.3,집합시설,N,N,N,N,-9.6,2.4,61.0,0.0,0.4,266.51
246,4.0,1.0,165.6,겨울,10.0,화요일,강북구,1.3,주거,N,N,N,N,-7.5,3.0,51.0,0.0,0.4,659.08
247,5.0,1.0,110.0,겨울,11.0,화요일,동대문구,0.5,생활서비스,N,N,N,N,-5.6,2.9,44.0,0.0,0.3,640.43
249,19.0,1.0,396.6,겨울,11.0,화요일,성동구,1.0,판매/업무시설,N,N,N,N,-5.6,2.9,44.0,0.0,0.3,5723.28
250,2.0,1.0,76.68,겨울,11.0,화요일,금천구,4.6,주거,N,N,N,N,-5.6,2.9,44.0,0.0,0.3,222.48
251,4.0,0.0,150.0,겨울,14.0,화요일,중구,1.0,판매/업무시설,N,N,N,N,-1.8,3.2,29.0,0.0,0.0,500.0
252,2.0,0.0,44.17,겨울,14.0,화요일,용산구,1.7,주거,N,N,N,N,-1.8,3.2,29.0,0.0,0.0,93.46
253,15.0,1.0,823.94,겨울,17.0,화요일,노원구,0.7,주거,N,Y,N,N,-1.9,2.8,32.0,0.0,0.0,11716.08
254,3.0,1.0,658.04,겨울,19.0,화요일,중랑구,1.0,생활서비스,N,Y,N,N,-3.6,2.8,38.0,0.0,0.0,1808.22
