,ground_nof,bstory_cnt,bottom_area,season_se_nm,fire_ocrn_hour,daywk,sigungu_nm,spt_safe_cnter_dist,fclty_place_lclas_nm,fio_join_trgt_yn,frmng_trgt_yn,mub_yn,emrg_crg_oper_yn,time_unit_tmprt,time_unit_ws,time_unit_humidity,time_unit_rainqty,time_unit_msnf,totar
3288,3.0,1.0,437.39,가을,12.0,토요일,광진구,0.3,주거,N,N,N,N,28.5,0.7,89.0,11.4,0.0,2094.49
3289,6.0,1.0,192.03,가을,16.0,토요일,강남구,4.4,생활서비스,N,Y,N,N,29.6,0.5,85.0,2.2,0.0,1222.96
3290,18.0,2.0,1299.72,가을,16.0,토요일,송파구,0.2,주거,N,Y,N,N,29.6,0.5,85.0,2.2,0.0,24319.38
3291,12.0,2.0,752.82,가을,16.0,토요일,서초구,2.8,주거,N,N,N,N,29.6,0.5,85.0,2.2,0.0,9603.08
3293,12.0,1.0,966.08,가을,19.0,토요일,강남구,3.5,주거,N,N,N,N,29.6,2.1,84.0,0.0,0.0,6335.84
3294,1.0,0.0,66.12,가을,19.0,토요일,강북구,0.3,판매/업무시설,N,N,N,N,29.6,2.1,84.0,0.0,0.0,66.12
3295,2.0,0.0,40.0,가을,0.0,일요일,동대문구,1.9,주거,N,N,N,N,28.2,0.9,88.0,0.0,0.0,75.37
3296,7.0,1.0,106.61,가을,3.0,일요일,관악구,0.9,주거,N,N,N,N,27.5,0.8,89.0,0.0,0.0,711.01
3297,1.0,0.0,42.92,가을,11.0,일요일,종로구,0.6,생활서비스,N,N,N,N,28.6,1.9,84.0,0.0,0.0,42.92
3298,25.0,1.0,331.86,가을,12.0,일요일,금천구,1.6,주거,N,N,N,N,28.8,2.4,82.0,0.0,0.0,7813.1
3300,17.0,0.0,739.22,가을,19.0,일요일,강서구,1.0,주거,N,Y,N,N,29.6,4.2,76.0,0.0,0.0,10788.38
3301,4.0,1.0,156.86,가을,21.0,일요일,서대문구,3.8,판매/업무시설,N,Y,N,N,29.2,4.0,78.0,0.0,0.0,1573.95
3302,2.0,1.0,38.02,가을,9.0,월요일,강서구,0.9,생활서비스,N,N,N,N,27.3,4.5,91.0,1.3,0.0,578.83
3303,3.0,1.0,115.88,가을,10.0,월요일,마포구,0.6,판매/업무시설,N,N,N,N,27.4,5.7,90.0,0.3,0.0,448.22
3304,15.0,5.0,1141.35,가을,12.0,월요일,용산구,1.0,주거,N,N,N,N,28.0,6.6,88.0,0.0,0.0,22683.69
3307,4.0,1.0,112.5,가을,14.0,월요일,강북구,0.5,판매/업무시설,N,N,N,N,25.1,1.9,94.0,4.9,0.0,598.0
3308,6.0,0.0,224.75,가을,14.0,월요일,금천구,1.4,주거,N,Y,N,N,25.1,1.9,94.0,4.9,0.0,808.27
3309,5.0,2.0,158.96,가을,14.0,월요일,동작구,1.5,주거,N,N,N,N,25.1,1.9,94.0,4.9,0.0,1019.69
3311,3.0,1.0,70.38,가을,16.0,월요일,양천구,1.5,주거,N,N,N,N,25.7,1.5,96.0,9.0,0.0,281.52
3312,5.0,1.0,229.98,가을,17.0,월요일,강남구,1.7,의료/복지시설,N,Y,N,N,26.3,2.7,96.0,0.4,0.0,1280.65
3313,2.0,1.0,0.0,가을,19.0,월요일,종로구,1.6,생활서비스,N,N,N,N,25.6,2.5,96.0,12.5,0.0,390.02
3314,5.0,0.0,80.74,가을,19.0,월요일,노원구,1.6,판매/업무시설,N,N,N,N,25.6,2.5,96.0,12.5,0.0,314.14
3315,5.0,1.0,67.25,가을,22.0,월요일,영등포구,2.2,의료/복지시설,N,N,N,N,26.0,2.0,97.0,26.6,0.0,359.67
3316,5.0,0.0,101.7,가을,22.0,월요일,광진구,1.8,주거,N,N,N,N,26.0,2.0,97.0,26.6,0.0,341.54
3317,5.0,1.0,138.08,가을,22.0,월요일,강남구,2.2,주거,N,N,N,N,26.0,2.0,97.0,26.6,0.0,599.76
3319,21.0,1.0,399.44,가을,0.0,화요일,구로구,0.5,주거,N,Y,N,N,26.0,0.8,97.0,0.8,0.0,8038.74
3320,4.0,1.0,92.95,가을,1.0,화요일,강남구,1.1,기타서비스,N,N,N,N,26.1,2.2,97.0,1.2,0.0,425.16
3321,3.0,1.0,85.39,가을,1.0,화요일,관악구,3.2,주거,N,N,N,N,26.1,2.2,97.0,1.2,0.0,299.26
3322,18.0,1.0,3995.31,가을,1.0,화요일,구로구,1.3,주거,N,Y,N,N,26.1,2.2,97.0,1.2,0.0,88740.0
3323,2.0,1.0,82.08,가을,2.0,화요일,구로구,2.1,주거,N,N,N,N,26.0,1.9,97.0,0.7,0.0,246.24
3324,3.0,0.0,92.28,가을,3.0,화요일,도봉구,0.2,판매/업무시설,N,N,N,N,25.9,1.4,97.0,0.1,0.0,221.84
3325,2.0,1.0,0.0,가을,7.0,화요일,중랑구,1.5,주거,N,N,N,N,25.5,2.4,97.0,0.3,0.0,188.43
3326,4.0,2.0,191.72,가을,8.0,화요일,관악구,3.3,주거,N,N,N,N,25.7,1.2,96.0,0.0,0.0,1073.18
3327,5.0,0.0,933.03,가을,8.0,화요일,관악구,2.5,교육시설,N,Y,N,N,25.7,1.2,96.0,0.0,0.0,3747.1
3329,7.0,1.0,219.84,가을,9.0,화요일,구로구,2.0,판매/업무시설,N,Y,N,N,25.6,1.7,95.0,0.0,0.0,1124.0
3330,14.0,6.0,71.35,가을,10.0,화요일,강서구,2.3,생활서비스,N,Y,N,N,25.7,2.5,95.0,0.2,0.0,43177.76
3331,4.0,0.0,277710.0,가을,12.0,화요일,강남구,3.3,주거,N,Y,N,N,25.3,3.0,95.0,7.3,0.0,709.48
3332,1.0,0.0,60.0,가을,12.0,화요일,강북구,2.0,판매/업무시설,N,N,N,N,25.3,3.0,95.0,7.3,0.0,60.0
3333,2.0,1.0,82.29,가을,14.0,화요일,구로구,2.5,주거,N,N,N,N,25.5,2.7,96.0,2.9,0.0,246.87
3335,15.0,1.0,593.33,가을,16.0,화요일,강남구,1.4,주거,N,N,N,N,26.5,3.9,94.0,0.2,0.0,9160.93
3337,4.0,1.0,159.34,가을,18.0,화요일,서대문구,3.1,판매/업무시설,N,N,N,N,26.0,3.0,95.0,22.1,0.0,499.47
3338,0.0,3.0,0.0,가을,18.0,화요일,중랑구,2.0,운수자동차시설,N,N,N,N,26.0,3.0,95.0,22.1,0.0,0.0
3339,2.0,1.0,49.83,가을,19.0,화요일,강북구,1.0,주거,N,N,N,N,25.4,3.5,96.0,5.2,0.0,119.71
3340,3.0,1.0,399.39,가을,19.0,화요일,영등포구,1.3,교육시설,N,N,N,N,25.4,3.5,96.0,5.2,0.0,1189.27
